งบรายรับรายจ่าย,,,จัดการเรียบร้อย,,,
รายรับ,เงินเดือน + เสริม 5000,"44,900",,,,
,ปอน 2000 + โดนัท (800+500) + เหลือ,"3,300",,,,
รายจ่ายประจำ,ให้แม่,"2,000",,,,
,ค่ากิน (รวม โอนเข้าบัญชีโดนัท),"3,000",,,,
,ค่าน้ำมัน (รวม โอนเข้าบัญชีโดนัท),"1,000",,,,
,ค่าผ่อนบ้าน,"12,000",,,,
,ค่าเหมียว-โยดา-โยจิ,"2,500",,฿20.00,,
,ค่ากิน,"3,000",,,,
,Coway,600,,,,
,ค่าเน็ต,500,,,,
,,,,,,
,,,,,,
,,,,ช===,,
รายจ่ายผันแปร,บัตร Kplus ทั่วไป 1500,"1,500",,,,
,Shopee,"8,712",,,,
,บัตร KTC,"11,305",,,,
,บัตร UOB,"6,857",,,,
,แว่นใหม่ 1/4,"3,000",,,,
เงินคงเหลือ,,"-7,775",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
,,,,,,
,,,,,,
  ,,,,,,
